year,platform,sentiment,count,mean_score
2012,Other,Negative,8,-0.7327538979006931
2012,Other,Neutral,4,-0.007806843379512429
2012,Other,Positive,3,0.9671475890402993
2012,Web,Negative,59,-0.7622645526998124
2012,Web,Neutral,40,-0.018291584425605835
2012,Web,Positive,48,0.8715373662368316
2013,Android,Negative,47,-0.7674310190028492
2013,Android,Neutral,25,0.08972990298643709
2013,Android,Positive,100,0.9204649071278982
2013,Other,Negative,1,-0.7991164727136493
2013,Other,Neutral,3,0.18085015014124414
2013,Other,Positive,4,0.922093258559471
2013,Web,Negative,49,-0.789649364481471
2013,Web,Neutral,45,0.06454445131433507
2013,Web,Positive,103,0.8286403457021557
2014,Android,Negative,52,-0.744411603305847
2014,Android,Neutral,33,0.1316713907572469
2014,Android,Positive,92,0.8813306565874803
2014,Other,Negative,1,-0.813896850682795
2014,Other,Neutral,2,-0.01991659589111805
2014,Web,Negative,24,-0.7823470776008131
2014,Web,Neutral,20,0.14743808280909435
2014,Web,Positive,51,0.8502605823895839
2015,Android,Negative,39,-0.7872426337562501
2015,Android,Neutral,50,0.08367430304642767
2015,Android,Positive,129,0.8428782365084517
2015,Other,Negative,2,-0.8064875714480877
2015,Other,Neutral,2,0.060390457045286894
2015,Other,Positive,5,0.7560602662386373
2015,Web,Negative,14,-0.7567248967409667
2015,Web,Neutral,17,-0.006905799115295796
2015,Web,Positive,43,0.8920654550243472
2015,iPhone,Negative,4,-0.8493057847954333
2015,iPhone,Neutral,1,0.06498289480805397
2015,iPhone,Positive,10,0.892450230405666
2016,Android,Negative,39,-0.7634112309688368
2016,Android,Neutral,18,0.013432520312360592
2016,Android,Positive,21,0.8543861068264094
2016,Other,Positive,2,0.8464435085188597
2016,Web,Negative,9,-0.8086166137105061
2016,Web,Neutral,3,-0.1122941467911005
2016,Web,Positive,5,0.7254267074167728
2016,iPhone,Negative,23,-0.7916543497501508
2016,iPhone,Neutral,11,0.10149948787875473
2016,iPhone,Positive,34,0.9067325660931495
2017,Android,Negative,6,-0.7914557006054869
2017,Android,Positive,3,0.8412038044383129
2017,Other,Neutral,3,0.16801251765961447
2017,Other,Positive,12,0.9245357124794585
2017,Web,Negative,1,-0.7564244829118252
2017,Web,Positive,1,0.9862800550181419
2017,iPhone,Negative,26,-0.752332459956121
2017,iPhone,Neutral,19,0.08014282518017449
2017,iPhone,Positive,34,0.8523994492236798
2018,Other,Neutral,1,0.12355973571538925
2018,iPhone,Negative,54,-0.7389535560462348
2018,iPhone,Neutral,20,-0.04793377378955484
2018,iPhone,Positive,54,0.8927805253705527
2019,Other,Negative,2,-0.8009046763181686
2019,Other,Neutral,1,0.17766087595373392
2019,Other,Positive,1,0.9710803278721869
2019,iPhone,Negative,87,-0.7608808314631126
2019,iPhone,Neutral,35,0.0693503050200109
2019,iPhone,Positive,75,0.8698962544370442
2020,Other,Positive,2,0.9382429750403389
2020,iPhone,Negative,104,-0.7789543985810059
2020,iPhone,Neutral,36,0.005363916422033476
2020,iPhone,Positive,128,0.8831560399457885
